 -0.336   -0.192    0.062    0.128    0.358    0.342    0.608    0.398
    0.382    0.328    0.385    0.273    0.417    0.264    0.404    0.447
    0.286    0.250    0.106   -0.112   -0.318   -0.286   -0.284   -0.420
   -0.317   -0.531   -0.497   -0.291   -0.355   -0.283   -0.304   -0.353
   -0.316   -0.347    0.165    0.174    0.417    0.340    0.366    0.427
    0.258    0.496    0.383    0.175    0.237    0.383    0.354    0.325
    0.300    0.148    0.005   -0.175   -0.330   -0.370   -0.324   -0.312
   -0.475   -0.537   -0.574   -0.668   -0.226   -0.403   -0.269   -0.256
   -0.240   -0.113    0.248    0.248    0.462    0.422    0.479    0.469
    0.328    0.285    0.360    0.306    0.322    0.303    0.285    0.380
    0.357    0.147   -0.068   -0.233   -0.336   -0.464   -0.436   -0.453
   -0.623   -0.558   -0.438   -0.358   -0.397   -0.562   -0.374   -0.088
   -0.040   -0.005    0.362    0.524    0.498    0.284    0.423    0.270
    0.343    0.324    0.457    0.346    0.278    0.140    0.331    0.231
    0.253    0.236   -0.047   -0.231   -0.303   -0.455   -0.462   -0.457
   -0.570   -0.442   -0.545   -0.500   -0.443   -0.497   -0.401   -0.419
