 0.0000000  -1.1201234  -1.7008536  -2.4499800  -3.3879815  -4.8542056
 -5.1078039  -4.5258946  -3.3673881  -3.4617300  -3.3318900  -4.3118849
  -3.7431560  -2.8466408  -3.1327488  -5.1339782  -7.8786389 -10.3451507
 -12.0386693 -12.9774824 -13.2831148 -13.3989455 -15.3342229 -14.8896554
  -13.7242537 -13.3157329 -12.6373127 -12.7675492 -11.3369433 -11.6153094
 -12.0565382 -12.4028752 -11.9600482 -11.0768709 -10.7121537 -10.7236818
 -11.4271322  -9.9003654  -7.7440394  -6.9293791  -4.9538793  -2.9282130
  -0.9077714  -0.4333779  -1.0568821  -0.8537798   0.5428465   1.8668628
  3.3796451   1.9181153   1.5207679   1.6543465   1.8513913  -0.4694667
  -2.4401008  -4.7336679  -5.8073559  -5.4435298  -5.2183412  -5.3765772
  -6.7025422  -5.7140639  -5.8689205  -7.0895209  -7.4898598  -8.7018250
  -9.9397988 -10.3736950  -9.1766344  -7.2303707  -5.3856624  -4.4844140
  -4.7431235  -4.4937849  -3.6552026  -2.3811941  -1.7453960  -2.4949978
  -5.1242284  -8.1592264  -8.2890280  -8.4849734  -8.6066420  -9.5965637
 -11.1833094 -12.4639710 -13.7197015 -13.6357994 -11.7757686 -11.8090019
-12.1554843 -11.1853803 -10.1731368 -10.3063182  -9.9869378  -8.1036120
   -7.6504774  -7.0922033  -6.4386747  -5.1976173  -5.3128729  -6.4207650
  -6.7188476  -5.1317260  -3.8480064  -1.6735292  -0.6244315   0.2541565
   1.9574113   3.8949254   3.9087986   4.7377465   5.5214502   7.0107746
  6.8147194   7.7832239   9.9597338  11.2529352  12.8409780  14.1465148
 16.9649481  18.1924560  19.6355992  20.3309978  20.3906155  21.6181414
 20.0612397  19.9745088  20.0791971  20.5204494  19.5253683  19.5099621
  20.9864280  22.0090032  23.1552037  26.4743549  27.1213531  27.2565229
 28.0640598  28.2902582  30.0778956  30.7128467  30.5915046  30.1752707
 29.0281911  28.3778691  27.1364419  26.7607409  29.4950984  31.2571397
  32.3006747  30.5892907  29.8469926  28.8563697  28.1947377  29.2485514
 29.7197253  31.3003815  31.8452440  30.4880472  29.7909936  29.0285323
  27.2163007  25.4953060  24.2165415  22.6239314  21.1080533  21.1886135
  27.2163007  25.4953060  24.2165415  22.6239314  21.1080533  21.1886135
 21.8417259  23.0708497  23.9869108  25.4258788  25.5480337  25.8049526
  23.9406944  23.7221023  23.5985916  22.3864498  21.3751396  19.6231136
  20.0340351  22.3562612  23.6946779  23.3784077  21.4492539  19.7552865
 19.6463269  19.3841388  21.2671157  22.9676973  22.7483653  23.1863576
  23.3295233  23.1886774  
