65.59052 65.52105 67.50798 69.49656 66.48826
66.1443 68.02722 70.99082 72.03881 71.68482
66.57696 67.90807 68.50228 68.20381 68.70972
69.73389 70.99455 73.13489 73.40941 73.28703
69.82242 71.69862 72.14093 73.13182 71.2948
68.62091 68.95 71.30039 70.4117 73.24982
74.54548 73.24331 74.15679 73.9544 74.22516
76.65541 75.57592 75.62671 74.99214 74.32525
76.69049 76.7615 75.43494 76.06024 76.44364
73.32098 77.1638 80.08266 78.45826 77.73801
80.10149 81.48691 81.37358 79.67204 82.4372
81.15299 79.33471 79.09035 79.68271 77.66423
78.87226 80.57386 83.9215 80.67022 83.67278
84.49152 84.32898 83.43958 83.22568 86.92693
86.51366 86.80876 84.06109 86.16966 84.56258
81.60599 83.54934 83.60477 86.75382 88.05523
85.98893 85.78136 86.44795 89.1666 87.36485
89.28395 86.15627 86.76223 84.35393 88.2633
89.50286 91.4086 87.83711 86.85531 88.76107
89.12303 88.81082 88.74651 88.3796 88.33891
